feature,importance
housing_自有有贷,2.2157562175908194
log_income,2.0191535124600133
credict_limit,2.0029123949615397
recent_account_months,1.8262988671446077
housing_租赁,1.5972578768532424
purpose_债务优化重组,1.5345010220937252
loan_income_ratio,1.4598558996168292
income,1.250922657231854
credict_used_amount,1.1867905633766103
total_credict_card_number,1.0508598620605853
inquire_times,1.0404449774705515
inv_last_credict_card_months,0.9930736051399202
log_credit_utilization,0.9751281008857434
amount,0.8105434970111389
half_used_credict_card,0.7197056669321752
purpose_医疗支出分期,0.6287630303992958
housing_自有无贷,0.6205534140477422
credit_utilization_ratio,0.5208410408598155
purpose_信用卡账单分期,0.5140116011815344
loan_history,0.46539212765062793
purpose_大件消费贷,0.45158335981746633
purpose_个人综合消费贷,0.41943293190267456
loan_income_ratio_sq,0.40609397017019117
last_overdue_months,0.40431088932883674
overdue_times,0.36492225291679453
default_times,0.34169418213352737
recent_loan_number,0.3216629259520349
total_balance,0.30557612206256646
purpose_家装分期,0.28692316620917846
last_credict_card_months,0.28527626303013104
length,0.2371559785450972
mortage_number,0.22006673997871387
purpose_risk_flag,0.16468401199693064
purpose_购房贷,0.1213879391872308
purpose_汽车消费贷,0.1202668659440005
total_default_number,0.10034480124274207
account_number,0.07482231031599781
amount_to_limit,0.07235617225246078
inv_last_overdue_months,0.0517211378731917
int_util_recentoverdue,0.05057509692551416
purpose_旅游消费贷,0.016895615688051455
risk_exposure_index,0.014575586913804358
closed_credict_cards,0.0036029154975380433
purpose_租房押金贷,0.0012142461316146757
purpose_婚庆分期,9.60531442345739e-06
int_ratio_rent,0.0
is_rent,0.0
is_own,0.0
