feature,importance
length,0.010383979725898999
overdue_times,0.07051811194120214
default_times,0.030268538668333705
total_default_number,0.006868578853472396
closed_credict_cards,0.0007737508974474273
recent_loan_number,0.018998514220397545
credict_used_amount,0.007939458410186196
half_used_credict_card,0.009799419269737696
log_credict_used_amount,0.0008861194388541102
log_length,0.010199586585254482
log_overdue_times,0.08529903723754757
log_default_times,0.019181223166326065
risk_composite_score,0.022256674399530964
used_per_card,0.008913906245186688
