feature,importance
length,0.13544877676647032
overdue_times,0.0299086786948094
default_times,0.0024204273261112506
total_default_number,0.0013860368753975552
closed_credict_cards,0.00041069434461485626
recent_loan_number,0.18662886077750168
credict_used_amount,0.20068296958239293
half_used_credict_card,0.023245744357009643
log_credict_used_amount,0.20048079923282927
log_length,0.13506467168052036
log_overdue_times,0.029621600235562998
log_default_times,0.002872695040685169
risk_composite_score,0.020201289788843564
used_per_card,0.03162675529725092
