feature,importance
log_income,0.0992084381596317
loan_income_ratio,0.07542144506650027
amount,0.04813071167936755
housing_自有有贷,0.03291425682325813
purpose_医疗支出分期,0.03285497059172947
income,0.03168079039991242
log_credit_utilization,0.03020052105382698
loan_income_ratio_sq,0.029321445540414697
inv_last_credict_card_months,0.023266423793714013
housing_租赁,0.02030261239022064
credit_utilization_ratio,0.01933170345440736
purpose_租房押金贷,0.018580215909006714
recent_loan_number,0.017430245474764516
purpose_婚庆分期,0.016677498741882665
purpose_债务优化重组,0.016378789418073872
purpose_大件消费贷,0.01340965225255478
total_balance,0.012719926004241938
housing_自有无贷,0.012611644433037621
inquire_times,0.012396829567084076
purpose_家装分期,0.010729302944882004
inv_last_overdue_months,0.009409945112505811
purpose_购房贷,0.008572902019221897
credict_limit,0.00831489117866229
purpose_个人综合消费贷,0.00792038753104434
mortage_number,0.006746363706023122
recent_account_months,0.006523011555545241
amount_to_limit,0.006438302607488996
total_credict_card_number,0.0057054805500714595
half_used_credict_card,0.005119543892936652
last_credict_card_months,0.004560678026314017
int_util_recentoverdue,0.003998871337879011
purpose_汽车消费贷,0.0033111930263061825
account_number,0.003259952763567476
overdue_times,0.00296342281527673
loan_history,0.0020500437026026593
length,0.0014085997929594008
purpose_信用卡账单分期,0.0013599829948700978
default_times,0.0012504895165708105
risk_exposure_index,0.001139806282340665
closed_credict_cards,0.0010049377249941914
credict_used_amount,0.0006780329028599794
total_default_number,0.00045841723861049516
purpose_risk_flag,0.00032835697691664846
last_overdue_months,7.054453646837407e-05
purpose_旅游消费贷,3.373121084930225e-05
is_own,4.163336342344337e-17
is_rent,3.469446951953614e-18
int_ratio_rent,1.734723475976807e-18
